Devicename,Release,UI Version,FW Version,StartDate,EndDate
X104-GER-PORT1-GEN4_SGM-FUT-DE_PROD-DVBC,R45.10.9,0.45.10,4.2502.140,2025-11-28,
X107-POR-PORT1-AVSB-FUT-PT_PROD-MCAST,R52.1,0.53.00,2.2405.84,2025-11-28,
X113-ES-PORT2-GEN3-FUT-ES_PROD-FTTH,R45.13,0.45.13,2.2405.102,2025-11-29,
X113-ES-PORT3-GEN3-FUT-ES_PROD-FTTH,R45.13,0.45.13,2.2405.102,2025-11-29,
X106-IE-PORT3-GEN3-FUT-IE_PROD-MCAST,R45.13,0.45.13,2.2405.102,2025-11-29,
X102-GER-PORT2-GEN3-MP-DE_PROD-DVBC,R45.13,0.45.13,2.2405.102,2025-11-29,
X121-IE-PORT1-GEN3-ALPHA-IE_PROD-MCAST,R45.13,0.45.13,2.2405.102,2025-11-29,
X108-POR-PORT1-GEN3-FUT-PT_PROD-MCAST,R52.1,0.53.00,2.2405.82,2025-11-29,
X101-GER-PORT1-AVSB-FUT_EMMC_Rayson-DE_PROD-DVBC,R45.13,0.45.13,2.2405.100,2025-11-29,
X104-GER-PORT4-AVSB-FUT_EMMC_Western-DE_PROD-DVBC,R45.13,0.45.13,2.2405.100,2025-11-29,
